セクション,ID,優先度,項目,前提,操作,期待結果,結果,実施日時,実施者,備考
事前確認,PRE-01,必須,release ブランチのバージョン,release/2.10.0 ブランチが存在,① release/2.10.0 ブランチを checkout ② ルートの package.json の version フィールドを確認 ③ package-lock.json の version も確認,① package.json が 2.10.0 ② package-lock.json も 2.10.0 ③ 2.9.0 のまま残っていない,未実施,,,
事前確認,PRE-02,必須,PR verify,release/2.10.0 → development の PR が作成済み,① GitHub で対象 PR を開く ② Checks タブを確認 ③ PR verify / verify の結果を見る,① verify ジョブが success（緑） ② lint / build / test の失敗がない ③ マージブロック要因がない,未実施,,,
事前確認,PRE-03,必須,GitHub Actions Variables,GitHub の production Environment へアクセス可能,① Settings → Environments → production を開く ② Variables 一覧で USER_ENV PARTNER_ENV FUNCTIONS_ENV FIREBASERC PROJECT_ID を確認 ③ ADMIN_ENV が残っていないか確認,① 5 変数すべて存在 ② 値が空でない ③ ADMIN_ENV は使われていない（PARTNER_ENV が正）,未実施,,,
事前確認,PRE-04,必須,Functions パラメータ,Firebase Console の本番プロジェクトへアクセス可能,① Firebase Console → Functions → 環境変数/パラメータを開く ② PARTNER_HOST EVENT_HOST CORS SLACK_COMMAND_NAME を確認,① PARTNER_HOST が本番の飲食店ホスト名 ② EVENT_HOST が本番の user ホスト名 ③ CORS に user/partner のオリジンが含まれる ④ ADMIN_HOST は未使用,未実施,,,
事前確認,PRE-05,必須,Firebase Hosting target,Firebase Console の本番プロジェクトへアクセス可能,① Firebase Console → Hosting → ターゲットを開く ② user partner manager の紐付けを確認,① partner ターゲットが存在 ② 旧 admin サイト相当の Hosting に向いている ③ user / manager も正しく紐付いている,未実施,,,
事前確認,PRE-06,必須,Secret Manager,GCP Secret Manager へアクセス可能,① GCP Console → Secret Manager で本番プロジェクトの Secret 一覧を開く ② SendGrid Stripe Adobe PDF Slack(4件) LINE 等を照合,① Functions が参照する Secret がすべて登録済み ② 未設定 Secret による Cold Start 失敗がない,未実施,,,
事前確認,PRE-07,高,ロールバック先,ローカルまたは CI で git 操作可能,① git fetch origin --tags を実行 ② git tag -l v2.* --sort=-v:refname で直近タグを確認 ③ v2.9.0 が指すコミットを git show v2.9.0 で確認,① v2.9.0 タグが存在 ② ロールバック先として指定できる ③ package.json の version が 2.9.0 相当,未実施,,,
user 基本導線,U-01,必須,ログイン,一般ユーザーアカウント（メール or Google）,① 未ログインで user アプリを開く ② ログイン画面からメール or Google でログイン ③ ログイン後の遷移先を確認,① ログイン成功 ② エラートーストや 520 画面が出ない ③ トップまたは直前の遷移先へ遷移し認証状態が維持される,未実施,,,
user 基本導線,U-02,必須,トップ表示,ログイン済み / 未ログインの両方で確認,① ログイン済みでトップページを開く ② ログアウトして未ログインでトップを開く ③ イベント一覧とコミュニティ導線を確認,① イベントカードが表示される ② コミュニティへの導線がある ③ レイアウト崩れや JS エラーがない,未実施,,,
user 基本導線,U-03,必須,イベント詳細,公開・注文受付中のイベントが存在,① トップまたはコミュニティからイベント詳細を開く ② イベント名・日時・参加者・注文ボタンを確認 ③ DevTools Console でエラーがないか確認,① イベント情報が正しく表示 ② 参加者アイコン等が表示 ③ 注文導線（カート追加）が使える ④ Console に致命的エラーがない,未実施,,,
user 基本導線,U-04,必須,コミュニティ詳細,公開コミュニティが存在,① コミュニティページ /c/{communityAccount} を開く ② イベント一覧・説明・アルバム等を確認,① コミュニティ情報が表示 ② イベント一覧が表示 ③ アルバム等の既存機能が崩れていない,未実施,,,
user 基本導線,U-05,必須,カート投入,注文受付中イベント・メニューが存在,① イベント詳細からメニューを 1 品カートに追加 ② カート画面を開く ③ ヘッダのカートアイコン件数を確認,① カートに品目が追加される ② ナビのカート件数が 1 増える ③ エラートーストが出ない,未実施,,,
user 基本導線,U-06,必須,注文確定,カートに品目が入っている,① カート画面から決済（Stripe Checkout）へ進む ② テストカード等で決済完了 ③ /u/{自分}?tab=orders で注文履歴を確認,① 決済成功 ② 注文ステータスが ordered ③ 注文履歴に対象イベントが表示される ④ 決済完了モーダル等が正常表示,未実施,,,
