community_name,community_account,description,manager_email
全社ランチ,company-lunch,総務が運営する全社向けランチ,yasukawa.naohiro+admin@nijuni.jp
人事・採用,hr-recruit,ウェルカム・採用・シャッフルランチ,yasukawa.naohiro+hr@nijuni.jp
経営企画,executive,経営陣とのランチ会,yasukawa.naohiro+exec@nijuni.jp
開発部ランチ会,dev-lunch,開発部の毎週定例ランチ,yasukawa.naohiro+dev-lead@nijuni.jp
プロモーション部ランチ会,promo-lunch,プロモーション部の定例ランチ,yasukawa.naohiro+promo-lead@nijuni.jp
サンプルテック Alumni,alumni,卒業生との交流会,yasukawa.naohiro+hr@nijuni.jp
ボドゲ同好会,boardgame,社内ボードゲームサークル,yasukawa.naohiro+club@nijuni.jp
ポケカ部,pokemon,ポケカ交流会,yasukawa.naohiro+club@nijuni.jp
AI勉強会,ai-study,社内AI勉強会,yasukawa.naohiro+dev-lead@nijuni.jp
女子会,joshikai,任意参加のランチ会,yasukawa.naohiro+member@nijuni.jp
